date,demand_mean,predicted,residual,abs_pct_error
2026-04-09,7432.9103125,7379.400109992623,53.51020250737747,0.7199091642124192
2026-04-10,7627.657847222222,7533.2932841726,94.36456304962212,1.2371368110590728
2026-04-11,6387.283854166667,6659.83428307508,-272.55042890841287,4.267078700919451
2026-04-12,6097.141111111111,6112.209858589943,-15.068747478831938,0.24714447647228374
2026-04-13,6731.174791666667,6611.80093641074,119.37385525592708,1.7734475622845862
2026-04-14,6879.199756944445,6915.669094587637,-36.469337643192375,0.530139244850059
2026-04-15,6764.482291666666,6942.6640966908235,-178.18180502415726,2.634078963347481
2026-04-16,6962.531041666666,7047.382835618031,-84.85179395136493,1.2186917867019433
2026-04-17,7016.694166666666,6904.130178476997,112.56398818966954,1.6042310740065209
2026-04-18,6356.213923611112,6551.483315623867,-195.26939201275582,3.0721022665300537
2026-04-19,6282.7974652777775,6218.526687632783,64.27077764499427,1.022964340330724
2026-04-20,6975.8928472222215,6673.092246568749,302.80060065347243,4.340671614158275
2026-04-21,7365.712916666666,7233.420954001933,132.29196266473355,1.7960510294311325
2026-04-22,7295.652256944445,7129.410767245982,166.24148969846283,2.2786377947252636
2026-04-23,7401.111875,6986.898433612378,414.21344138762197,5.596638023899915
2026-04-24,7254.554409722222,6917.5103499368015,337.04405978542036,4.645965013836402
2026-04-25,6462.799999999999,6458.03482344395,4.765176556049482,0.07373238466376002
2026-04-26,6277.29875,6333.034025772424,-55.73527577242385,0.8878863025664319
2026-04-27,6539.190972222223,6811.6632697309,-272.472297508677,4.1667585281743555
2026-04-28,7114.063263888889,6937.161963497499,176.90130039139058,2.4866422159800674
2026-04-29,7184.691493055555,7196.958019411974,-12.26652635641949,0.17073142762324367
2026-04-30,7315.176458333332,7126.618130094692,188.55832823864057,2.577631986222806
2026-05-01,7315.355173611111,6995.605819147792,319.7493544633189,4.370934108801167
2026-05-02,6924.360729166667,6647.299169038289,277.061560128378,4.001258324993733
2026-05-03,6714.381145833333,6517.672302361484,196.70884347184892,2.92966453943292
2026-05-04,7660.655590277778,7124.783111661805,535.8724786159728,6.995125577712362
2026-05-05,7171.648888888889,7404.921968767669,-233.27307987877975,3.2527119424403526
2026-05-06,7345.544201388889,7219.920159737356,125.62404165153293,1.710207415643623
2026-05-07,7581.852881944444,7383.412745156344,198.44013678810006,2.6173039740809116
2026-05-08,7577.3553125,7389.023516292705,188.33179620729516,2.4854555242594105
2026-05-09,6975.861805555555,6965.3868720605005,10.474933495054756,0.15015970480826543
2026-05-10,6835.981527777778,6573.850543517025,262.1309842607534,3.8345771297887956
2026-05-11,7510.071631944444,7277.507545826612,232.56408611783172,3.096695977287479
2026-05-12,7665.512256944444,7439.488734351164,226.02352259328018,2.9485768858893664
2026-05-13,7728.284791666667,7767.461701132139,-39.17690946547191,0.5069289049455835
2026-05-14,7646.646250000001,7662.437655206295,-15.791405206294257,0.20651413299385019
2026-05-15,7630.950590277778,7714.76933059838,-83.81874032060205,1.0984049671005787
2026-05-16,7041.931076388889,7130.700771688847,-88.76969529995858,1.2605873919669175
2026-05-17,7258.265208333333,6721.7141940052925,536.5510143280408,7.39227623857031
2026-05-18,8223.795451388889,8075.96994790393,147.82550348495897,1.797533807337015
2026-05-19,8085.889652777779,7976.606663820915,109.28298895686385,1.3515270879231132
2026-05-20,7667.586388888889,7961.371069239889,-293.78468035100013,3.831514448623937
2026-05-21,7837.3644791666675,7882.24804265961,-44.88356349294281,0.572686948683484
2026-05-22,7923.809513888889,7891.713055027135,32.0964588617544,0.4050634837384162
2026-05-23,7563.406388888889,7544.609746881575,18.796642007313494,0.24852085212460515
2026-05-24,7383.963923611111,7220.4310403873005,163.53288322381013,2.214703171840996
2026-05-25,7839.562777777778,7941.849938637814,-102.28716086003624,1.304755938047744
2026-05-26,8330.200069444445,8084.745070965148,245.4549984792966,2.9465678667147115
2026-05-27,7922.328402777778,7972.285208272086,-49.956805494307446,0.6305823610744445
2026-05-28,8169.774409722221,8066.280438272342,103.49397144987961,1.2667910551693984
2026-05-29,7923.144409722222,7932.568044113545,-9.423634391322594,0.1189380617594092
2026-05-30,7311.894236111111,7474.902692080351,-163.00845596923955,2.229360145339532
2026-05-31,7246.180972222221,7088.114557880663,158.0664143415579,2.181375471403427
2026-06-01,8075.734861111112,8008.621601112025,67.11325999908695,0.8310483337222029
2026-06-02,8745.770590277778,8287.572425023773,458.1981652540053,5.239082828943175
2026-06-03,7909.511215277777,8021.67858601099,-112.16737073321292,1.4181327730663527
2026-06-04,8244.207465277777,7867.492038338032,376.71542693974516,4.569455930437969
2026-06-05,8286.698854166667,8273.832679246516,12.866174920151025,0.15526297198168043
2026-06-06,7744.479548611111,7976.697613197115,-232.2180645860044,2.9984980027179517
2026-06-07,7592.474548611111,7576.088353916559,16.386194694551705,0.21582152945839284
2026-06-08,7724.885486111111,8209.680044802137,-484.7945586910255,6.27575074818465
2026-06-09,8223.033159722221,7919.36421052119,303.66894920103096,3.6929067815079692
2026-06-10,8006.324375,7950.595047831706,55.72932716829382,0.6960663165523295
2026-06-11,8071.335555555556,7815.406840587692,255.92871496786393,3.170834779526747
2026-06-12,7949.305173611112,7857.361873612658,91.94329999845377,1.1566205849496516
2026-06-13,7352.421423611111,7327.808111958464,24.6133116526471,0.3347647017838971
2026-06-14,7516.492291666666,7187.322206159657,329.1700855070085,4.3793045044688
2026-06-15,8109.390555555556,7905.5521538421435,203.83840171341217,2.5136093805935538
2026-06-16,7895.399583333334,7847.776576877278,47.62300645605592,0.6031741136520175
2026-06-17,8262.747777777777,7842.300020003209,420.44775777456744,5.088473823506261
2026-06-18,8154.838541666667,7853.95041788805,300.8881237786172,3.689688302732753
2026-06-19,8296.372673611111,7691.824947727801,604.5477258833098,7.28689211137103
2026-06-20,7506.790451388889,7134.171868085857,372.6185833030322,4.963753627012343
2026-06-21,7634.282465277778,7561.718753729314,72.5637115484642,0.9504981231503846
2026-06-22,8495.583993055556,8277.56956989728,218.01442315827626,2.566208789607462
2026-06-23,8861.958819444444,8692.606983050098,169.3518363943458,1.9109977810183785
2026-06-24,8840.503229166667,8685.438277667043,155.06495149962393,1.75402856013934
2026-06-25,9315.881076388889,8806.501922203051,509.37915418583725,5.4678580588245085
2026-06-26,9073.50111111111,8786.623519941802,286.8775911693083,3.1617077868432446
2026-06-27,8635.318923611112,8288.184277807572,347.1346458035405,4.0199400725593115
2026-06-28,8350.83375,8185.508499046082,165.32525095391793,1.9797454470209987
2026-06-29,8787.311979166667,8629.35905140345,157.9529277632173,1.7975113224351067
2026-06-30,9031.085520833332,8656.818594216478,374.2669266168541,4.144207534669865
2026-07-01,8370.588506944443,8077.79161857559,292.7968883688527,3.4979247650979532
2026-07-02,7931.303124999999,8132.954962261753,-201.65183726175383,2.5424805241163173
2026-07-03,8221.649722222222,7995.218312267383,226.43140995483918,2.754087289109627
2026-07-04,7865.081076388889,8043.162396591408,-178.08132020251833,2.2642019640092657
2026-07-05,8395.720243055555,8687.13813476723,-291.4178917116751,3.47102908714376
2026-07-06,8965.843611111111,9122.469406840082,-156.62579572897084,1.746916436673834
2026-07-07,9016.268784722222,8886.23337354143,130.03541118079193,1.4422308638483887
